id,name,tipo
eclipse_coti.opcion_1,Offset,
eclipse_coti.opcion_2,Digital,
eclipse_coti.opcion_3,Plotter,
eclipse_coti.opcion_4,Editorial,
eclipse_coti.opcion_5,Producto,
eclipse_coti.opcion_6,Catálogo,editorial
eclipse_coti.opcion_7,Block,editorial
eclipse_coti.opcion_8,Libro,editorial
eclipse_coti.opcion_9,Manual,editorial
eclipse_coti.opcion_10,Revista,editorial
eclipse_coti.opcion_11,Otro,editorial
eclipse_coti.opcion_12,Caja,producto
eclipse_coti.opcion_13,Cuadríptico,producto
eclipse_coti.opcion_14,Díptico,producto
eclipse_coti.opcion_15,Etiqueta,producto
eclipse_coti.opcion_16,Flyer,producto
eclipse_coti.opcion_17,Folder,producto
eclipse_coti.opcion_18,Póster,
eclipse_coti.opcion_19,Volante,producto
eclipse_coti.opcion_20,Encarte,producto
eclipse_coti.opcion_21,Tríptico,producto
eclipse_coti.opcion_22,Políptico,producto
eclipse_coti.opcion_23,Dangler,producto
eclipse_coti.opcion_24,Stopper,producto
eclipse_coti.opcion_25,Cenefa,producto
eclipse_coti.opcion_26,Planilla de etiquetas,producto
eclipse_coti.opcion_27,Colgante,producto
eclipse_coti.opcion_28,Tarjeta,producto
eclipse_coti.opcion_29,Cuaderno,editorial
eclipse_coti.opcion_30,Libreta,editorial
eclipse_coti.opcion_31,Separador,producto
eclipse_coti.opcion_32,Collarín,producto
eclipse_coti.opcion_33,Sobre,producto
